loc,length,bug type,approach
225,1,Timestamp-Dependency,code snippet injection
223,1,Timestamp-Dependency,code snippet injection
221,1,Timestamp-Dependency,code snippet injection
36,1,Timestamp-Dependency,code snippet injection
34,1,Timestamp-Dependency,code snippet injection
30,3,Timestamp-Dependency,code snippet injection
25,4,Timestamp-Dependency,code snippet injection
289,5,Timestamp-Dependency,code snippet injection
271,9,Timestamp-Dependency,code snippet injection
255,3,Timestamp-Dependency,code snippet injection
242,4,Timestamp-Dependency,code snippet injection
232,5,Timestamp-Dependency,code snippet injection
203,9,Timestamp-Dependency,code snippet injection
194,3,Timestamp-Dependency,code snippet injection
184,4,Timestamp-Dependency,code snippet injection
172,5,Timestamp-Dependency,code snippet injection
161,4,Timestamp-Dependency,code snippet injection
147,9,Timestamp-Dependency,code snippet injection
139,3,Timestamp-Dependency,code snippet injection
130,4,Timestamp-Dependency,code snippet injection
120,5,Timestamp-Dependency,code snippet injection
106,9,Timestamp-Dependency,code snippet injection
98,3,Timestamp-Dependency,code snippet injection
71,4,Timestamp-Dependency,code snippet injection
61,5,Timestamp-Dependency,code snippet injection
47,9,Timestamp-Dependency,code snippet injection
216,3,Timestamp-Dependency,code snippet injection
18,5,Timestamp-Dependency,code snippet injection
13,4,Timestamp-Dependency,code snippet injection
7,5,Timestamp-Dependency,code snippet injection
