loc,length,bug type,approach
218,10,Overflow-Underflow,code snippet injection
209,8,Overflow-Underflow,code snippet injection
284,4,Overflow-Underflow,code snippet injection
273,4,Overflow-Underflow,code snippet injection
195,10,Overflow-Underflow,code snippet injection
178,8,Overflow-Underflow,code snippet injection
163,4,Overflow-Underflow,code snippet injection
145,4,Overflow-Underflow,code snippet injection
123,10,Overflow-Underflow,code snippet injection
79,8,Overflow-Underflow,code snippet injection
74,4,Overflow-Underflow,code snippet injection
65,8,Overflow-Underflow,code snippet injection
60,4,Overflow-Underflow,code snippet injection
49,10,Overflow-Underflow,code snippet injection
257,8,Overflow-Underflow,code snippet injection
252,4,Overflow-Underflow,code snippet injection
247,4,Overflow-Underflow,code snippet injection
236,10,Overflow-Underflow,code snippet injection
106,8,Overflow-Underflow,code snippet injection
101,4,Overflow-Underflow,code snippet injection
96,4,Overflow-Underflow,code snippet injection
