loc,length,bug type,approach
333,13,Re-entrancy,code snippet injection
312,20,Re-entrancy,code snippet injection
413,13,Re-entrancy,code snippet injection
394,12,Re-entrancy,code snippet injection
294,14,Re-entrancy,code snippet injection
269,16,Re-entrancy,code snippet injection
244,14,Re-entrancy,code snippet injection
214,16,Re-entrancy,code snippet injection
194,8,Re-entrancy,code snippet injection
121,27,Re-entrancy,code snippet injection
92,28,Re-entrancy,code snippet injection
79,12,Re-entrancy,code snippet injection
58,20,Re-entrancy,code snippet injection
49,8,Re-entrancy,code snippet injection
378,6,Re-entrancy,code snippet injection
369,8,Re-entrancy,code snippet injection
361,7,Re-entrancy,code snippet injection
352,8,Re-entrancy,code snippet injection
175,10,Re-entrancy,code snippet injection
166,8,Re-entrancy,code snippet injection
157,8,Re-entrancy,code snippet injection
