loc,length,bug type,approach
156,13,TOD,code snippet injection
135,18,TOD,code snippet injection
119,13,TOD,code snippet injection
409,18,TOD,code snippet injection
378,13,TOD,code snippet injection
345,18,TOD,code snippet injection
313,13,TOD,code snippet injection
280,18,TOD,code snippet injection
251,13,TOD,code snippet injection
220,18,TOD,code snippet injection
186,13,TOD,code snippet injection
98,18,TOD,code snippet injection
79,18,TOD,code snippet injection
63,13,TOD,code snippet injection
43,18,TOD,code snippet injection
29,13,TOD,code snippet injection
10,18,TOD,code snippet injection
