loc,length,bug type,approach
323,5,tx-origin,code snippet injection
140,4,tx-origin,code snippet injection
135,4,tx-origin,code snippet injection
39,3,tx-origin,code snippet injection
8,4,tx-origin,code snippet injection
409,4,tx-origin,code snippet injection
397,4,tx-origin,code snippet injection
386,3,tx-origin,code snippet injection
374,4,tx-origin,code snippet injection
360,4,tx-origin,code snippet injection
308,4,tx-origin,code snippet injection
299,5,tx-origin,code snippet injection
292,3,tx-origin,code snippet injection
228,4,tx-origin,code snippet injection
201,4,tx-origin,code snippet injection
160,4,tx-origin,code snippet injection
152,3,tx-origin,code snippet injection
124,4,tx-origin,code snippet injection
116,4,tx-origin,code snippet injection
108,4,tx-origin,code snippet injection
101,3,tx-origin,code snippet injection
91,4,tx-origin,code snippet injection
81,4,tx-origin,code snippet injection
71,4,tx-origin,code snippet injection
60,4,tx-origin,code snippet injection
51,3,tx-origin,code snippet injection
19,4,tx-origin,code snippet injection
267,4,tx-origin,code snippet injection
33,4,tx-origin,code snippet injection
29,3,tx-origin,code snippet injection
