loc,length,bug type,approach
249,3,Unchecked-Send,code snippet injection
243,5,Unchecked-Send,code snippet injection
239,3,Unchecked-Send,code snippet injection
369,3,Unchecked-Send,code snippet injection
359,3,Unchecked-Send,code snippet injection
350,3,Unchecked-Send,code snippet injection
342,2,Unchecked-Send,code snippet injection
329,3,Unchecked-Send,code snippet injection
311,3,Unchecked-Send,code snippet injection
277,3,Unchecked-Send,code snippet injection
26,3,Unchecked-Send,code snippet injection
22,3,Unchecked-Send,code snippet injection
15,3,Unchecked-Send,code snippet injection
185,3,Unchecked-Send,code snippet injection
178,3,Unchecked-Send,code snippet injection
171,3,Unchecked-Send,code snippet injection
164,3,Unchecked-Send,code snippet injection
157,3,Unchecked-Send,code snippet injection
150,3,Unchecked-Send,code snippet injection
