loc,length,bug type,approach
11,1,Timestamp-Dependency,code snippet injection
9,1,Timestamp-Dependency,code snippet injection
7,1,Timestamp-Dependency,code snippet injection
208,1,Timestamp-Dependency,code snippet injection
202,1,Timestamp-Dependency,code snippet injection
192,3,Timestamp-Dependency,code snippet injection
182,4,Timestamp-Dependency,code snippet injection
167,5,Timestamp-Dependency,code snippet injection
151,9,Timestamp-Dependency,code snippet injection
140,3,Timestamp-Dependency,code snippet injection
112,4,Timestamp-Dependency,code snippet injection
86,5,Timestamp-Dependency,code snippet injection
55,9,Timestamp-Dependency,code snippet injection
49,3,Timestamp-Dependency,code snippet injection
44,4,Timestamp-Dependency,code snippet injection
38,5,Timestamp-Dependency,code snippet injection
33,4,Timestamp-Dependency,code snippet injection
23,9,Timestamp-Dependency,code snippet injection
19,3,Timestamp-Dependency,code snippet injection
14,4,Timestamp-Dependency,code snippet injection
