loc,length,bug type,approach
617,10,Overflow-Underflow,code snippet injection
603,8,Overflow-Underflow,code snippet injection
583,4,Overflow-Underflow,code snippet injection
571,4,Overflow-Underflow,code snippet injection
554,10,Overflow-Underflow,code snippet injection
510,8,Overflow-Underflow,code snippet injection
495,4,Overflow-Underflow,code snippet injection
470,4,Overflow-Underflow,code snippet injection
441,10,Overflow-Underflow,code snippet injection
416,8,Overflow-Underflow,code snippet injection
389,4,Overflow-Underflow,code snippet injection
362,8,Overflow-Underflow,code snippet injection
341,4,Overflow-Underflow,code snippet injection
313,10,Overflow-Underflow,code snippet injection
293,8,Overflow-Underflow,code snippet injection
282,4,Overflow-Underflow,code snippet injection
265,4,Overflow-Underflow,code snippet injection
248,10,Overflow-Underflow,code snippet injection
534,8,Overflow-Underflow,code snippet injection
529,4,Overflow-Underflow,code snippet injection
524,4,Overflow-Underflow,code snippet injection
230,10,Overflow-Underflow,code snippet injection
224,4,Overflow-Underflow,code snippet injection
214,8,Overflow-Underflow,code snippet injection
