loc,length,bug type,approach
356,13,Re-entrancy,code snippet injection
328,20,Re-entrancy,code snippet injection
305,13,Re-entrancy,code snippet injection
269,12,Re-entrancy,code snippet injection
251,14,Re-entrancy,code snippet injection
231,16,Re-entrancy,code snippet injection
189,14,Re-entrancy,code snippet injection
172,16,Re-entrancy,code snippet injection
163,8,Re-entrancy,code snippet injection
135,27,Re-entrancy,code snippet injection
105,28,Re-entrancy,code snippet injection
92,12,Re-entrancy,code snippet injection
70,20,Re-entrancy,code snippet injection
61,8,Re-entrancy,code snippet injection
54,6,Re-entrancy,code snippet injection
44,8,Re-entrancy,code snippet injection
36,7,Re-entrancy,code snippet injection
27,8,Re-entrancy,code snippet injection
