loc,length,bug type,approach
394,5,tx-origin,code snippet injection
389,4,tx-origin,code snippet injection
384,4,tx-origin,code snippet injection
89,3,tx-origin,code snippet injection
79,4,tx-origin,code snippet injection
74,4,tx-origin,code snippet injection
379,4,tx-origin,code snippet injection
370,3,tx-origin,code snippet injection
359,4,tx-origin,code snippet injection
347,4,tx-origin,code snippet injection
338,4,tx-origin,code snippet injection
327,5,tx-origin,code snippet injection
320,3,tx-origin,code snippet injection
300,4,tx-origin,code snippet injection
289,4,tx-origin,code snippet injection
280,4,tx-origin,code snippet injection
273,3,tx-origin,code snippet injection
255,4,tx-origin,code snippet injection
246,4,tx-origin,code snippet injection
238,4,tx-origin,code snippet injection
226,3,tx-origin,code snippet injection
207,4,tx-origin,code snippet injection
199,4,tx-origin,code snippet injection
190,4,tx-origin,code snippet injection
182,4,tx-origin,code snippet injection
123,3,tx-origin,code snippet injection
101,4,tx-origin,code snippet injection
69,4,tx-origin,code snippet injection
64,4,tx-origin,code snippet injection
60,3,tx-origin,code snippet injection
55,4,tx-origin,code snippet injection
50,4,tx-origin,code snippet injection
45,4,tx-origin,code snippet injection
165,3,tx-origin,code snippet injection
160,3,tx-origin,code snippet injection
154,4,tx-origin,code snippet injection
149,4,tx-origin,code snippet injection
144,4,tx-origin,code snippet injection
140,3,tx-origin,code snippet injection
134,4,tx-origin,code snippet injection
