loc,length,bug type,approach
536,3,Unchecked-Send,code snippet injection
525,5,Unchecked-Send,code snippet injection
506,3,Unchecked-Send,code snippet injection
495,3,Unchecked-Send,code snippet injection
485,3,Unchecked-Send,code snippet injection
453,3,Unchecked-Send,code snippet injection
440,2,Unchecked-Send,code snippet injection
416,3,Unchecked-Send,code snippet injection
394,3,Unchecked-Send,code snippet injection
374,3,Unchecked-Send,code snippet injection
348,3,Unchecked-Send,code snippet injection
326,3,Unchecked-Send,code snippet injection
306,3,Unchecked-Send,code snippet injection
285,3,Unchecked-Send,code snippet injection
270,3,Unchecked-Send,code snippet injection
260,3,Unchecked-Send,code snippet injection
244,3,Unchecked-Send,code snippet injection
234,3,Unchecked-Send,code snippet injection
470,3,Unchecked-Send,code snippet injection
466,3,Unchecked-Send,code snippet injection
462,3,Unchecked-Send,code snippet injection
223,3,Unchecked-Send,code snippet injection
219,2,Unchecked-Send,code snippet injection
214,3,Unchecked-Send,code snippet injection
